Month,Symbol,down,no change,up
2015-07,HDFCBANK.NS,0,1,1
2015-07,TCS.NS,0,1,1
2015-08,HDFCBANK.NS,13,0,8
2015-08,TCS.NS,13,0,8
2015-09,HDFCBANK.NS,9,0,11
2015-09,TCS.NS,10,0,10
2015-10,HDFCBANK.NS,11,0,9
2015-10,TCS.NS,12,0,8
2015-11,HDFCBANK.NS,12,0,6
2015-11,TCS.NS,10,0,8
2015-12,HDFCBANK.NS,10,0,12
2015-12,TCS.NS,10,0,12
2016-01,HDFCBANK.NS,11,0,9
2016-01,TCS.NS,10,0,10
2016-02,HDFCBANK.NS,13,0,8
2016-02,TCS.NS,11,0,10
2016-03,HDFCBANK.NS,7,0,13
2016-03,TCS.NS,8,0,12
2016-04,HDFCBANK.NS,6,0,12
2016-04,TCS.NS,8,0,10
2016-05,HDFCBANK.NS,9,0,13
2016-05,TCS.NS,11,0,11
2016-06,HDFCBANK.NS,12,0,10
2016-06,TCS.NS,11,0,11
2016-07,HDFCBANK.NS,10,0,10
2016-07,TCS.NS,8,0,12
2016-08,HDFCBANK.NS,9,0,13
2016-08,TCS.NS,13,0,9
2016-09,HDFCBANK.NS,10,0,10
2016-09,TCS.NS,10,0,10
2016-10,HDFCBANK.NS,10,0,8
2016-10,TCS.NS,10,0,8
2016-11,HDFCBANK.NS,14,0,7
2016-11,TCS.NS,10,0,11
2016-12,HDFCBANK.NS,11,0,11
2016-12,TCS.NS,11,0,11
2017-01,HDFCBANK.NS,7,0,14
2017-01,TCS.NS,8,0,13
2017-02,HDFCBANK.NS,8,0,11
2017-02,TCS.NS,6,0,13
2017-03,HDFCBANK.NS,6,1,15
2017-03,TCS.NS,10,0,12
2017-04,HDFCBANK.NS,6,0,12
2017-04,TCS.NS,15,0,3
2017-05,HDFCBANK.NS,9,0,13
2017-05,TCS.NS,9,0,13
2017-06,HDFCBANK.NS,9,0,12
2017-06,TCS.NS,12,0,9
2017-07,HDFCBANK.NS,5,0,16
2017-07,TCS.NS,10,0,11
2017-08,HDFCBANK.NS,13,0,8
2017-08,TCS.NS,11,0,10
2017-09,HDFCBANK.NS,10,0,11
2017-09,TCS.NS,12,0,9
2017-10,HDFCBANK.NS,8,0,12
2017-10,TCS.NS,7,0,13
2017-11,HDFCBANK.NS,8,0,14
2017-11,TCS.NS,12,0,10
2017-12,HDFCBANK.NS,9,0,11
2017-12,TCS.NS,9,0,11
2018-01,HDFCBANK.NS,7,0,15
2018-01,TCS.NS,10,0,12
2018-02,HDFCBANK.NS,14,0,5
2018-02,TCS.NS,9,0,10
2018-03,HDFCBANK.NS,12,0,7
2018-03,TCS.NS,10,0,9
2018-04,HDFCBANK.NS,10,0,11
2018-04,TCS.NS,7,0,14
2018-05,HDFCBANK.NS,9,0,13
2018-05,TCS.NS,13,0,9
2018-06,HDFCBANK.NS,10,0,11
2018-06,TCS.NS,9,0,12
2018-07,HDFCBANK.NS,7,0,15
2018-07,TCS.NS,11,0,11
2018-08,HDFCBANK.NS,15,0,6
2018-08,TCS.NS,5,0,16
2018-09,HDFCBANK.NS,8,0,10
2018-09,TCS.NS,9,0,9
2018-10,HDFCBANK.NS,14,0,7
2018-10,TCS.NS,11,0,10
2018-11,HDFCBANK.NS,6,0,14
2018-11,TCS.NS,9,0,11
2018-12,HDFCBANK.NS,11,0,9
2018-12,TCS.NS,11,0,9
2019-01,HDFCBANK.NS,14,0,9
2019-01,TCS.NS,9,0,14
2019-02,HDFCBANK.NS,10,0,9
2019-02,TCS.NS,9,0,10
2019-03,HDFCBANK.NS,4,0,14
2019-03,TCS.NS,11,1,6
2019-04,HDFCBANK.NS,10,0,9
2019-04,TCS.NS,5,1,13
2019-05,HDFCBANK.NS,9,0,13
2019-05,TCS.NS,11,0,11
2019-06,HDFCBANK.NS,10,0,9
2019-06,TCS.NS,9,0,10
2019-07,HDFCBANK.NS,13,0,10
2019-07,TCS.NS,9,0,14
2019-08,HDFCBANK.NS,11,0,9
2019-08,TCS.NS,10,0,10
2019-09,HDFCBANK.NS,9,0,10
2019-09,TCS.NS,13,0,6
2019-10,HDFCBANK.NS,10,0,10
2019-10,TCS.NS,8,0,12
2019-11,HDFCBANK.NS,6,0,14
2019-11,TCS.NS,13,0,7
2019-12,HDFCBANK.NS,11,0,10
2019-12,TCS.NS,10,0,11
2020-01,HDFCBANK.NS,11,0,12
2020-01,TCS.NS,13,0,10
2020-02,HDFCBANK.NS,12,0,7
2020-02,TCS.NS,9,0,10
2020-03,HDFCBANK.NS,11,0,10
2020-03,TCS.NS,10,0,11
2020-04,HDFCBANK.NS,8,0,10
2020-04,TCS.NS,8,0,10
2020-05,HDFCBANK.NS,10,0,9
2020-05,TCS.NS,8,0,11
2020-06,HDFCBANK.NS,10,0,12
2020-06,TCS.NS,9,0,13
2020-07,HDFCBANK.NS,11,0,12
2020-07,TCS.NS,9,0,14
2020-08,HDFCBANK.NS,9,0,12
2020-08,TCS.NS,15,0,6
2020-09,HDFCBANK.NS,12,0,10
2020-09,TCS.NS,7,1,14
2020-10,HDFCBANK.NS,8,0,13
2020-10,TCS.NS,9,0,12
2020-11,HDFCBANK.NS,6,0,14
2020-11,TCS.NS,9,0,11
2020-12,HDFCBANK.NS,9,0,13
2020-12,TCS.NS,7,0,15
2021-01,HDFCBANK.NS,12,0,8
2021-01,TCS.NS,11,0,9
2021-02,HDFCBANK.NS,8,0,12
2021-02,TCS.NS,13,0,7
2021-03,HDFCBANK.NS,13,0,8
2021-03,TCS.NS,7,0,14
2021-04,HDFCBANK.NS,13,0,6
2021-04,TCS.NS,12,0,7
2021-05,HDFCBANK.NS,9,0,11
2021-05,TCS.NS,6,0,14
2021-06,HDFCBANK.NS,12,0,10
2021-06,TCS.NS,7,0,15
2021-07,HDFCBANK.NS,11,0,10
2021-07,TCS.NS,16,0,5
2021-08,HDFCBANK.NS,7,0,14
2021-08,TCS.NS,4,0,17
2021-09,HDFCBANK.NS,12,0,9
2021-09,TCS.NS,10,0,11
2021-10,HDFCBANK.NS,11,0,9
2021-10,TCS.NS,13,0,7
2021-11,HDFCBANK.NS,9,0,11
2021-11,TCS.NS,6,0,14
2021-12,HDFCBANK.NS,12,0,11
2021-12,TCS.NS,7,0,16
2022-01,HDFCBANK.NS,9,0,11
2022-01,TCS.NS,9,0,11
2022-02,HDFCBANK.NS,11,0,9
2022-02,TCS.NS,11,0,9
2022-03,HDFCBANK.NS,9,0,12
2022-03,TCS.NS,10,0,11
2022-04,HDFCBANK.NS,11,0,8
2022-04,TCS.NS,10,0,9
2022-05,HDFCBANK.NS,9,0,12
2022-05,TCS.NS,12,0,9
2022-06,HDFCBANK.NS,12,0,10
2022-06,TCS.NS,12,0,10
2022-07,HDFCBANK.NS,7,0,14
2022-07,TCS.NS,11,0,10
2022-08,HDFCBANK.NS,9,0,11
2022-08,TCS.NS,11,0,9
2022-09,HDFCBANK.NS,13,0,9
2022-09,TCS.NS,10,0,12
2022-10,HDFCBANK.NS,10,0,9
2022-10,TCS.NS,7,0,12
2022-11,HDFCBANK.NS,10,0,11
2022-11,TCS.NS,10,0,11
2022-12,HDFCBANK.NS,10,0,12
2022-12,TCS.NS,14,0,8
2023-01,HDFCBANK.NS,9,0,12
2023-01,TCS.NS,9,0,12
2023-02,HDFCBANK.NS,11,0,9
2023-02,TCS.NS,10,0,10
2023-03,HDFCBANK.NS,10,0,11
2023-03,TCS.NS,13,0,8
2023-04,HDFCBANK.NS,4,0,13
2023-04,TCS.NS,8,0,9
2023-05,HDFCBANK.NS,9,0,13
2023-05,TCS.NS,11,0,11
2023-06,HDFCBANK.NS,8,0,13
2023-06,TCS.NS,11,0,10
2023-07,HDFCBANK.NS,10,0,11
2023-07,TCS.NS,8,0,13
2023-08,HDFCBANK.NS,16,0,6
2023-08,TCS.NS,12,0,10
2023-09,HDFCBANK.NS,8,0,12
2023-09,TCS.NS,8,0,12
2023-10,HDFCBANK.NS,11,0,9
2023-10,TCS.NS,12,0,8
2023-11,HDFCBANK.NS,8,0,12
2023-11,TCS.NS,10,0,10
2023-12,HDFCBANK.NS,7,0,13
2023-12,TCS.NS,7,0,13
2024-01,HDFCBANK.NS,13,0,8
2024-01,TCS.NS,10,0,11
2024-02,HDFCBANK.NS,13,0,8
2024-02,TCS.NS,10,0,11
2024-03,HDFCBANK.NS,7,0,11
2024-03,TCS.NS,10,0,8
2024-04,HDFCBANK.NS,10,0,10
2024-04,TCS.NS,11,0,9
2024-05,HDFCBANK.NS,7,0,14
2024-05,TCS.NS,14,0,7
2024-06,HDFCBANK.NS,6,0,13
2024-06,TCS.NS,8,0,11
2024-07,HDFCBANK.NS,12,0,10
2024-07,TCS.NS,10,0,12
2024-08,HDFCBANK.NS,9,0,12
2024-08,TCS.NS,7,0,14
2024-09,HDFCBANK.NS,7,0,14
2024-09,TCS.NS,14,0,7
2024-10,HDFCBANK.NS,12,0,10
2024-10,TCS.NS,13,0,9
2024-11,HDFCBANK.NS,8,0,11
2024-11,TCS.NS,8,0,11
2024-12,HDFCBANK.NS,13,0,8
2024-12,TCS.NS,12,0,9
2025-01,HDFCBANK.NS,12,0,11
2025-01,TCS.NS,12,0,11
2025-02,HDFCBANK.NS,9,0,11
2025-02,TCS.NS,16,0,4
2025-03,HDFCBANK.NS,7,1,11
2025-03,TCS.NS,7,1,11
2025-04,HDFCBANK.NS,8,0,11
2025-04,TCS.NS,11,0,8
2025-05,HDFCBANK.NS,10,0,11
2025-05,TCS.NS,11,0,10
2025-06,HDFCBANK.NS,9,0,12
2025-06,TCS.NS,10,0,11
2025-07,HDFCBANK.NS,9,0,13
2025-07,TCS.NS,18,0,4
